date,product_id,product_name,category,quantity,unit_price,amount,region,sales_channel
2026-05-22,P001,笔记本电脑,电子产品,5,5999.00,29995.00,深圳,线下
2026-03-17,P001,笔记本电脑,电子产品,4,5999.00,23996.00,广州,线下
2026-03-20,P005,耳机,电子产品,6,299.00,1794.00,杭州,线下
2026-05-12,P008,电脑包,配件,7,159.00,1113.00,成都,线下
2026-04-27,P009,屏幕清洁剂,配件,9,39.00,351.00,广州,线上
2026-04-29,P008,电脑包,配件,4,159.00,636.00,武汉,线下
2026-04-16,P003,机械键盘,电子产品,10,499.00,4990.00,上海,线上
2026-05-01,P010,USB转接器,配件,4,79.00,316.00,成都,线下
2026-04-11,P001,笔记本电脑,电子产品,10,5999.00,59990.00,杭州,线下
2026-03-27,P002,无线鼠标,电子产品,3,199.00,597.00,北京,线下
2026-04-20,P006,充电宝,配件,8,99.00,792.00,上海,线上
2026-05-17,P003,机械键盘,电子产品,6,499.00,2994.00,深圳,线上
2026-03-22,P010,USB转接器,配件,2,79.00,158.00,广州,线上
2026-05-03,P001,笔记本电脑,电子产品,6,5999.00,35994.00,上海,线下
2026-03-26,P007,数据线,配件,5,29.00,145.00,武汉,线下
2026-04-05,P008,电脑包,配件,3,159.00,477.00,西安,线下
2026-04-28,P008,电脑包,配件,6,159.00,954.00,杭州,线下
2026-04-06,P003,机械键盘,电子产品,8,499.00,3992.00,深圳,线上
2026-06-05,P010,USB转接器,配件,6,79.00,474.00,上海,线上
2026-03-24,P007,数据线,配件,8,29.00,232.00,深圳,线下
2026-03-12,P010,USB转接器,配件,3,79.00,237.00,杭州,线上
2026-05-03,P006,充电宝,配件,6,99.00,594.00,北京,线下
2026-03-15,P010,USB转接器,配件,5,79.00,395.00,武汉,线上
2026-05-29,P002,无线鼠标,电子产品,1,199.00,199.00,西安,线上
2026-06-04,P006,充电宝,配件,10,99.00,990.00,杭州,线下
2026-04-25,P003,机械键盘,电子产品,3,499.00,1497.00,杭州,线下
2026-04-21,P006,充电宝,配件,10,99.00,990.00,杭州,线下
2026-04-12,P005,耳机,电子产品,7,299.00,2093.00,北京,线上
2026-03-26,P006,充电宝,配件,6,99.00,594.00,广州,线下
2026-05-16,P002,无线鼠标,电子产品,7,199.00,1393.00,北京,线下
2026-03-24,P001,笔记本电脑,电子产品,10,5999.00,59990.00,成都,线下
2026-04-24,P004,显示器,电子产品,1,1999.00,1999.00,深圳,线上
2026-06-03,P004,显示器,电子产品,4,1999.00,7996.00,西安,线下
2026-05-25,P010,USB转接器,配件,7,79.00,553.00,上海,线上
2026-04-03,P002,无线鼠标,电子产品,10,199.00,1990.00,上海,线下
2026-04-08,P009,屏幕清洁剂,配件,8,39.00,312.00,上海,线上
2026-05-03,P002,无线鼠标,电子产品,4,199.00,796.00,武汉,线上
2026-03-08,P004,显示器,电子产品,4,1999.00,7996.00,上海,线上
2026-04-23,P009,屏幕清洁剂,配件,3,39.00,117.00,广州,线上
2026-05-30,P010,USB转接器,配件,3,79.00,237.00,深圳,线上
2026-05-28,P005,耳机,电子产品,3,299.00,897.00,杭州,线下
2026-03-31,P003,机械键盘,电子产品,3,499.00,1497.00,西安,线下
2026-05-04,P002,无线鼠标,电子产品,6,199.00,1194.00,上海,线上
2026-04-26,P009,屏幕清洁剂,配件,8,39.00,312.00,北京,线上
2026-03-11,P010,USB转接器,配件,5,79.00,395.00,上海,线下
2026-04-19,P007,数据线,配件,4,29.00,116.00,武汉,线上
2026-05-05,P005,耳机,电子产品,3,299.00,897.00,成都,线下
2026-05-17,P004,显示器,电子产品,8,1999.00,15992.00,上海,线上
2026-03-11,P006,充电宝,配件,5,99.00,495.00,西安,线下
2026-04-30,P004,显示器,电子产品,10,1999.00,19990.00,武汉,线上
2026-04-14,P007,数据线,配件,6,29.00,174.00,杭州,线下
2026-05-26,P006,充电宝,配件,1,99.00,99.00,北京,线上
2026-03-16,P004,显示器,电子产品,9,1999.00,17991.00,北京,线上
2026-04-04,P001,笔记本电脑,电子产品,7,5999.00,41993.00,北京,线下
2026-03-17,P008,电脑包,配件,7,159.00,1113.00,武汉,线下
2026-05-20,P002,无线鼠标,电子产品,1,199.00,199.00,杭州,线下
2026-05-31,P010,USB转接器,配件,7,79.00,553.00,西安,线上
2026-05-28,P002,无线鼠标,电子产品,6,199.00,1194.00,西安,线上
2026-04-18,P008,电脑包,配件,7,159.00,1113.00,北京,线下
2026-05-02,P005,耳机,电子产品,3,299.00,897.00,武汉,线上
2026-04-09,P008,电脑包,配件,1,159.00,159.00,上海,线下
2026-05-27,P001,笔记本电脑,电子产品,2,5999.00,11998.00,成都,线下
2026-04-22,P004,显示器,电子产品,9,1999.00,17991.00,武汉,线下
2026-05-28,P008,电脑包,配件,9,159.00,1431.00,成都,线下
2026-04-09,P009,屏幕清洁剂,配件,10,39.00,390.00,上海,线上
2026-05-09,P002,无线鼠标,电子产品,6,199.00,1194.00,成都,线上
2026-03-18,P008,电脑包,配件,7,159.00,1113.00,广州,线下
2026-05-14,P001,笔记本电脑,电子产品,8,5999.00,47992.00,武汉,线下
2026-05-12,P002,无线鼠标,电子产品,4,199.00,796.00,成都,线下
2026-04-29,P006,充电宝,配件,5,99.00,495.00,武汉,线下
2026-05-22,P004,显示器,电子产品,4,1999.00,7996.00,深圳,线上
2026-03-10,P002,无线鼠标,电子产品,6,199.00,1194.00,广州,线下
2026-03-27,P006,充电宝,配件,2,99.00,198.00,深圳,线上
2026-04-08,P009,屏幕清洁剂,配件,10,39.00,390.00,武汉,线下
2026-03-30,P001,笔记本电脑,电子产品,4,5999.00,23996.00,上海,线上
2026-03-16,P006,充电宝,配件,10,99.00,990.00,成都,线下
2026-03-30,P005,耳机,电子产品,9,299.00,2691.00,深圳,线下
2026-05-27,P004,显示器,电子产品,5,1999.00,9995.00,上海,线下
2026-05-06,P008,电脑包,配件,2,159.00,318.00,广州,线上
2026-05-25,P005,耳机,电子产品,2,299.00,598.00,杭州,线下
2026-05-28,P006,充电宝,配件,4,99.00,396.00,北京,线上
2026-05-16,P009,屏幕清洁剂,配件,2,39.00,78.00,上海,线上
2026-04-12,P010,USB转接器,配件,6,79.00,474.00,西安,线上
2026-03-09,P004,显示器,电子产品,7,1999.00,13993.00,武汉,线上
2026-05-22,P010,USB转接器,配件,7,79.00,553.00,杭州,线下
2026-03-15,P002,无线鼠标,电子产品,3,199.00,597.00,北京,线下
2026-05-26,P009,屏幕清洁剂,配件,5,39.00,195.00,西安,线下
2026-04-18,P003,机械键盘,电子产品,2,499.00,998.00,武汉,线下
2026-03-10,P004,显示器,电子产品,2,1999.00,3998.00,深圳,线上
2026-03-21,P004,显示器,电子产品,8,1999.00,15992.00,深圳,线上
2026-06-04,P008,电脑包,配件,2,159.00,318.00,武汉,线上
2026-05-07,P009,屏幕清洁剂,配件,6,39.00,234.00,广州,线下
2026-04-27,P005,耳机,电子产品,5,299.00,1495.00,北京,线下
2026-04-26,P007,数据线,配件,6,29.00,174.00,武汉,线下
2026-03-15,P009,屏幕清洁剂,配件,8,39.00,312.00,广州,线上
2026-03-21,P008,电脑包,配件,6,159.00,954.00,深圳,线上
2026-05-15,P001,笔记本电脑,电子产品,10,5999.00,59990.00,成都,线上
2026-04-20,P002,无线鼠标,电子产品,5,199.00,995.00,杭州,线下
2026-03-24,P004,显示器,电子产品,1,1999.00,1999.00,武汉,线上
2026-03-19,P010,USB转接器,配件,4,79.00,316.00,广州,线上
2026-04-14,P005,耳机,电子产品,10,299.00,2990.00,西安,线上
2026-04-28,P004,显示器,电子产品,5,1999.00,9995.00,北京,线上
2026-03-11,P002,无线鼠标,电子产品,2,199.00,398.00,北京,线下
2026-05-05,P003,机械键盘,电子产品,2,499.00,998.00,杭州,线上
2026-04-02,P007,数据线,配件,1,29.00,29.00,西安,线下
2026-04-10,P004,显示器,电子产品,2,1999.00,3998.00,武汉,线下
2026-03-19,P008,电脑包,配件,5,159.00,795.00,西安,线下
2026-05-04,P005,耳机,电子产品,3,299.00,897.00,深圳,线下
2026-05-15,P003,机械键盘,电子产品,3,499.00,1497.00,成都,线下
2026-04-21,P006,充电宝,配件,8,99.00,792.00,武汉,线上
2026-06-02,P007,数据线,配件,5,29.00,145.00,深圳,线上
2026-04-20,P004,显示器,电子产品,6,1999.00,11994.00,成都,线下
2026-03-26,P008,电脑包,配件,1,159.00,159.00,广州,线下
2026-03-26,P005,耳机,电子产品,1,299.00,299.00,成都,线下
2026-05-21,P006,充电宝,配件,3,99.00,297.00,北京,线上
2026-05-30,P006,充电宝,配件,1,99.00,99.00,西安,线下
2026-03-09,P001,笔记本电脑,电子产品,6,5999.00,35994.00,杭州,线上
2026-05-25,P004,显示器,电子产品,1,1999.00,1999.00,广州,线下
2026-04-21,P005,耳机,电子产品,8,299.00,2392.00,西安,线下
2026-06-04,P009,屏幕清洁剂,配件,5,39.00,195.00,广州,线上
2026-03-19,P007,数据线,配件,5,29.00,145.00,深圳,线下
2026-06-02,P010,USB转接器,配件,5,79.00,395.00,上海,线上
2026-03-23,P003,机械键盘,电子产品,7,499.00,3493.00,北京,线上
2026-03-08,P002,无线鼠标,电子产品,1,199.00,199.00,上海,线上
2026-03-11,P009,屏幕清洁剂,配件,4,39.00,156.00,武汉,线上
2026-03-24,P007,数据线,配件,10,29.00,290.00,杭州,线上
2026-04-14,P008,电脑包,配件,2,159.00,318.00,北京,线下
2026-03-21,P003,机械键盘,电子产品,9,499.00,4491.00,成都,线上
2026-03-27,P009,屏幕清洁剂,配件,7,39.00,273.00,上海,线下
2026-04-18,P003,机械键盘,电子产品,10,499.00,4990.00,成都,线下
2026-04-07,P001,笔记本电脑,电子产品,9,5999.00,53991.00,北京,线下
2026-05-27,P007,数据线,配件,2,29.00,58.00,成都,线下
2026-03-27,P010,USB转接器,配件,1,79.00,79.00,广州,线下
2026-04-06,P002,无线鼠标,电子产品,8,199.00,1592.00,杭州,线上
2026-05-20,P008,电脑包,配件,3,159.00,477.00,武汉,线上
2026-04-25,P010,USB转接器,配件,4,79.00,316.00,成都,线下
2026-05-01,P002,无线鼠标,电子产品,1,199.00,199.00,成都,线上
2026-03-11,P002,无线鼠标,电子产品,10,199.00,1990.00,北京,线上
2026-03-22,P009,屏幕清洁剂,配件,7,39.00,273.00,西安,线下
2026-03-23,P009,屏幕清洁剂,配件,3,39.00,117.00,北京,线下
2026-05-09,P005,耳机,电子产品,1,299.00,299.00,杭州,线上
2026-03-14,P001,笔记本电脑,电子产品,5,5999.00,29995.00,杭州,线上
2026-04-25,P005,耳机,电子产品,9,299.00,2691.00,深圳,线上
2026-04-01,P009,屏幕清洁剂,配件,8,39.00,312.00,上海,线下
2026-03-09,P006,充电宝,配件,8,99.00,792.00,成都,线上
2026-04-18,P010,USB转接器,配件,4,79.00,316.00,广州,线上
2026-05-12,P010,USB转接器,配件,3,79.00,237.00,上海,线上
2026-03-29,P007,数据线,配件,6,29.00,174.00,上海,线上
2026-05-18,P008,电脑包,配件,2,159.00,318.00,上海,线上
2026-04-26,P006,充电宝,配件,1,99.00,99.00,杭州,线上
2026-04-28,P005,耳机,电子产品,8,299.00,2392.00,成都,线上
2026-04-12,P009,屏幕清洁剂,配件,7,39.00,273.00,深圳,线上
2026-04-27,P009,屏幕清洁剂,配件,5,39.00,195.00,杭州,线下
2026-03-13,P008,电脑包,配件,1,159.00,159.00,武汉,线下
2026-05-24,P007,数据线,配件,4,29.00,116.00,广州,线上
2026-03-26,P001,笔记本电脑,电子产品,6,5999.00,35994.00,成都,线上
2026-05-10,P005,耳机,电子产品,1,299.00,299.00,成都,线下
2026-06-05,P002,无线鼠标,电子产品,7,199.00,1393.00,上海,线上
2026-05-08,P005,耳机,电子产品,4,299.00,1196.00,成都,线下
2026-06-04,P008,电脑包,配件,9,159.00,1431.00,武汉,线下
2026-05-24,P002,无线鼠标,电子产品,1,199.00,199.00,武汉,线下
2026-04-12,P009,屏幕清洁剂,配件,3,39.00,117.00,武汉,线上
2026-05-08,P004,显示器,电子产品,1,1999.00,1999.00,北京,线上
2026-04-02,P007,数据线,配件,8,29.00,232.00,西安,线上
2026-03-12,P004,显示器,电子产品,1,1999.00,1999.00,武汉,线上
2026-03-14,P003,机械键盘,电子产品,8,499.00,3992.00,上海,线下
2026-06-02,P006,充电宝,配件,5,99.00,495.00,杭州,线上
2026-03-23,P003,机械键盘,电子产品,6,499.00,2994.00,杭州,线下
2026-05-05,P001,笔记本电脑,电子产品,8,5999.00,47992.00,上海,线下
2026-04-26,P004,显示器,电子产品,1,1999.00,1999.00,深圳,线下
2026-03-13,P010,USB转接器,配件,8,79.00,632.00,成都,线下
2026-04-21,P006,充电宝,配件,8,99.00,792.00,杭州,线下
2026-05-11,P008,电脑包,配件,8,159.00,1272.00,杭州,线下
2026-04-12,P008,电脑包,配件,5,159.00,795.00,成都,线下
2026-04-09,P009,屏幕清洁剂,配件,2,39.00,78.00,西安,线下
2026-04-09,P001,笔记本电脑,电子产品,9,5999.00,53991.00,成都,线下
2026-03-16,P010,USB转接器,配件,8,79.00,632.00,西安,线上
2026-04-18,P003,机械键盘,电子产品,8,499.00,3992.00,西安,线上
2026-04-07,P003,机械键盘,电子产品,10,499.00,4990.00,深圳,线下
2026-05-01,P005,耳机,电子产品,2,299.00,598.00,西安,线上
2026-05-05,P005,耳机,电子产品,8,299.00,2392.00,广州,线下
2026-05-20,P006,充电宝,配件,10,99.00,990.00,北京,线下
2026-05-27,P001,笔记本电脑,电子产品,7,5999.00,41993.00,杭州,线上
2026-05-10,P008,电脑包,配件,1,159.00,159.00,西安,线下
2026-03-17,P002,无线鼠标,电子产品,6,199.00,1194.00,深圳,线下
2026-03-19,P005,耳机,电子产品,2,299.00,598.00,成都,线下
2026-05-25,P009,屏幕清洁剂,配件,7,39.00,273.00,武汉,线上
2026-03-18,P002,无线鼠标,电子产品,2,199.00,398.00,北京,线下
2026-05-31,P004,显示器,电子产品,1,1999.00,1999.00,广州,线下
2026-05-08,P008,电脑包,配件,3,159.00,477.00,深圳,线上
2026-04-13,P006,充电宝,配件,4,99.00,396.00,北京,线上
2026-04-28,P007,数据线,配件,4,29.00,116.00,成都,线下
2026-06-01,P010,USB转接器,配件,5,79.00,395.00,成都,线下
2026-05-08,P001,笔记本电脑,电子产品,6,5999.00,35994.00,上海,线上
2026-05-15,P001,笔记本电脑,电子产品,6,5999.00,35994.00,成都,线上
2026-05-25,P010,USB转接器,配件,5,79.00,395.00,武汉,线上
2026-05-11,P009,屏幕清洁剂,配件,3,39.00,117.00,武汉,线下
2026-04-06,P002,无线鼠标,电子产品,1,199.00,199.00,深圳,线下
2026-06-01,P004,显示器,电子产品,5,1999.00,9995.00,北京,线上
2026-04-22,P006,充电宝,配件,3,99.00,297.00,北京,线上
2026-04-08,P001,笔记本电脑,电子产品,8,5999.00,47992.00,深圳,线下
2026-05-23,P003,机械键盘,电子产品,10,499.00,4990.00,深圳,线下
2026-05-03,P001,笔记本电脑,电子产品,7,5999.00,41993.00,杭州,线上
2026-04-05,P010,USB转接器,配件,1,79.00,79.00,成都,线下
2026-04-02,P010,USB转接器,配件,5,79.00,395.00,广州,线上
2026-03-23,P004,显示器,电子产品,2,1999.00,3998.00,西安,线上
2026-04-14,P008,电脑包,配件,6,159.00,954.00,武汉,线下
2026-03-19,P005,耳机,电子产品,8,299.00,2392.00,北京,线下
2026-05-02,P009,屏幕清洁剂,配件,7,39.00,273.00,武汉,线下
2026-03-13,P003,机械键盘,电子产品,9,499.00,4491.00,上海,线下
2026-04-26,P008,电脑包,配件,5,159.00,795.00,杭州,线上
2026-05-31,P002,无线鼠标,电子产品,7,199.00,1393.00,成都,线下
2026-05-05,P010,USB转接器,配件,1,79.00,79.00,西安,线下
2026-04-29,P009,屏幕清洁剂,配件,1,39.00,39.00,深圳,线上
2026-05-19,P003,机械键盘,电子产品,10,499.00,4990.00,杭州,线下
2026-04-14,P010,USB转接器,配件,9,79.00,711.00,西安,线下
2026-04-04,P003,机械键盘,电子产品,4,499.00,1996.00,武汉,线下
2026-05-11,P003,机械键盘,电子产品,4,499.00,1996.00,杭州,线下
2026-03-12,P005,耳机,电子产品,4,299.00,1196.00,深圳,线下
2026-03-28,P009,屏幕清洁剂,配件,7,39.00,273.00,广州,线上
2026-03-31,P007,数据线,配件,3,29.00,87.00,武汉,线下
2026-05-21,P008,电脑包,配件,7,159.00,1113.00,杭州,线下
2026-05-03,P001,笔记本电脑,电子产品,2,5999.00,11998.00,北京,线下
2026-04-14,P007,数据线,配件,7,29.00,203.00,武汉,线下
2026-04-25,P005,耳机,电子产品,5,299.00,1495.00,北京,线下
2026-05-08,P007,数据线,配件,10,29.00,290.00,成都,线下
2026-03-16,P003,机械键盘,电子产品,4,499.00,1996.00,西安,线下
2026-05-23,P004,显示器,电子产品,1,1999.00,1999.00,北京,线下
2026-03-15,P002,无线鼠标,电子产品,1,199.00,199.00,北京,线上
2026-03-16,P009,屏幕清洁剂,配件,6,39.00,234.00,成都,线上
2026-03-29,P008,电脑包,配件,1,159.00,159.00,武汉,线下
2026-04-20,P006,充电宝,配件,1,99.00,99.00,广州,线下
2026-03-24,P006,充电宝,配件,9,99.00,891.00,成都,线下
2026-06-03,P008,电脑包,配件,8,159.00,1272.00,北京,线下
2026-05-02,P006,充电宝,配件,9,99.00,891.00,北京,线下
2026-03-30,P008,电脑包,配件,6,159.00,954.00,武汉,线下
2026-05-27,P010,USB转接器,配件,7,79.00,553.00,广州,线下
2026-03-18,P009,屏幕清洁剂,配件,8,39.00,312.00,广州,线上
2026-04-29,P006,充电宝,配件,8,99.00,792.00,武汉,线上
2026-05-13,P009,屏幕清洁剂,配件,5,39.00,195.00,杭州,线上
2026-04-18,P008,电脑包,配件,4,159.00,636.00,北京,线上
2026-04-20,P003,机械键盘,电子产品,6,499.00,2994.00,上海,线下
2026-03-22,P007,数据线,配件,9,29.00,261.00,广州,线上
2026-03-27,P008,电脑包,配件,3,159.00,477.00,杭州,线上
2026-04-11,P002,无线鼠标,电子产品,4,199.00,796.00,武汉,线上
2026-04-05,P006,充电宝,配件,3,99.00,297.00,广州,线上
2026-03-24,P002,无线鼠标,电子产品,4,199.00,796.00,杭州,线上
2026-05-05,P003,机械键盘,电子产品,10,499.00,4990.00,深圳,线上
2026-05-26,P008,电脑包,配件,9,159.00,1431.00,北京,线下
2026-04-29,P009,屏幕清洁剂,配件,3,39.00,117.00,广州,线下
2026-04-04,P001,笔记本电脑,电子产品,3,5999.00,17997.00,西安,线上
2026-05-14,P009,屏幕清洁剂,配件,7,39.00,273.00,广州,线下
2026-05-24,P001,笔记本电脑,电子产品,3,5999.00,17997.00,杭州,线下
2026-04-29,P008,电脑包,配件,3,159.00,477.00,杭州,线上
2026-05-25,P006,充电宝,配件,5,99.00,495.00,深圳,线下
2026-03-11,P005,耳机,电子产品,3,299.00,897.00,成都,线下
2026-04-27,P001,笔记本电脑,电子产品,7,5999.00,41993.00,北京,线上
2026-06-02,P002,无线鼠标,电子产品,7,199.00,1393.00,上海,线上
2026-04-03,P001,笔记本电脑,电子产品,8,5999.00,47992.00,杭州,线下
2026-06-02,P003,机械键盘,电子产品,1,499.00,499.00,武汉,线下
2026-06-02,P008,电脑包,配件,2,159.00,318.00,杭州,线下
2026-06-01,P007,数据线,配件,3,29.00,87.00,西安,线上
2026-04-08,P010,USB转接器,配件,7,79.00,553.00,深圳,线上
2026-05-02,P010,USB转接器,配件,9,79.00,711.00,成都,线下
2026-03-09,P004,显示器,电子产品,7,1999.00,13993.00,杭州,线上
2026-03-20,P002,无线鼠标,电子产品,5,199.00,995.00,上海,线上
2026-03-31,P006,充电宝,配件,7,99.00,693.00,杭州,线下
2026-04-30,P002,无线鼠标,电子产品,3,199.00,597.00,西安,线上
2026-05-12,P009,屏幕清洁剂,配件,5,39.00,195.00,成都,线下
2026-05-31,P001,笔记本电脑,电子产品,5,5999.00,29995.00,北京,线下
2026-03-31,P008,电脑包,配件,2,159.00,318.00,杭州,线上
2026-03-23,P006,充电宝,配件,7,99.00,693.00,成都,线上
2026-05-19,P001,笔记本电脑,电子产品,8,5999.00,47992.00,广州,线下
2026-04-10,P002,无线鼠标,电子产品,7,199.00,1393.00,深圳,线上
2026-04-18,P009,屏幕清洁剂,配件,10,39.00,390.00,北京,线上
2026-05-18,P002,无线鼠标,电子产品,8,199.00,1592.00,北京,线上
2026-05-11,P002,无线鼠标,电子产品,4,199.00,796.00,杭州,线上
2026-04-13,P001,笔记本电脑,电子产品,7,5999.00,41993.00,上海,线上
2026-05-04,P009,屏幕清洁剂,配件,5,39.00,195.00,武汉,线上
2026-03-18,P008,电脑包,配件,7,159.00,1113.00,深圳,线上
2026-03-26,P004,显示器,电子产品,5,1999.00,9995.00,广州,线上
2026-04-21,P005,耳机,电子产品,2,299.00,598.00,广州,线下
2026-04-19,P009,屏幕清洁剂,配件,10,39.00,390.00,成都,线下
2026-05-06,P001,笔记本电脑,电子产品,1,5999.00,5999.00,杭州,线下
2026-03-31,P010,USB转接器,配件,8,79.00,632.00,成都,线上
2026-05-23,P008,电脑包,配件,10,159.00,1590.00,武汉,线上
2026-04-11,P002,无线鼠标,电子产品,9,199.00,1791.00,西安,线下
2026-04-26,P001,笔记本电脑,电子产品,10,5999.00,59990.00,西安,线上
2026-03-13,P009,屏幕清洁剂,配件,8,39.00,312.00,西安,线下
2026-03-27,P010,USB转接器,配件,5,79.00,395.00,上海,线上
2026-05-25,P007,数据线,配件,7,29.00,203.00,武汉,线上
2026-05-03,P008,电脑包,配件,1,159.00,159.00,西安,线上
2026-05-19,P004,显示器,电子产品,2,1999.00,3998.00,武汉,线上
2026-05-17,P002,无线鼠标,电子产品,5,199.00,995.00,西安,线下
2026-03-19,P003,机械键盘,电子产品,2,499.00,998.00,北京,线下
2026-06-01,P003,机械键盘,电子产品,6,499.00,2994.00,武汉,线下
2026-04-24,P010,USB转接器,配件,4,79.00,316.00,广州,线下
2026-05-05,P003,机械键盘,电子产品,2,499.00,998.00,深圳,线上
2026-05-25,P003,机械键盘,电子产品,7,499.00,3493.00,广州,线下
2026-04-06,P001,笔记本电脑,电子产品,7,5999.00,41993.00,上海,线上
2026-03-18,P001,笔记本电脑,电子产品,2,5999.00,11998.00,杭州,线上
2026-05-19,P004,显示器,电子产品,4,1999.00,7996.00,北京,线下
2026-03-10,P002,无线鼠标,电子产品,6,199.00,1194.00,深圳,线下
2026-04-27,P008,电脑包,配件,3,159.00,477.00,西安,线上
2026-03-26,P005,耳机,电子产品,9,299.00,2691.00,武汉,线上
2026-05-09,P004,显示器,电子产品,10,1999.00,19990.00,北京,线下
2026-04-30,P002,无线鼠标,电子产品,1,199.00,199.00,上海,线上
2026-05-26,P007,数据线,配件,3,29.00,87.00,北京,线上
2026-06-01,P001,笔记本电脑,电子产品,4,5999.00,23996.00,深圳,线上
2026-03-11,P003,机械键盘,电子产品,5,499.00,2495.00,北京,线上
2026-05-12,P004,显示器,电子产品,9,1999.00,17991.00,上海,线上
2026-04-19,P006,充电宝,配件,10,99.00,990.00,北京,线下
2026-05-05,P007,数据线,配件,8,29.00,232.00,成都,线上
2026-03-26,P006,充电宝,配件,5,99.00,495.00,成都,线下
2026-04-01,P007,数据线,配件,7,29.00,203.00,深圳,线上
2026-04-22,P001,笔记本电脑,电子产品,6,5999.00,35994.00,西安,线上
2026-04-04,P006,充电宝,配件,8,99.00,792.00,上海,线上
2026-05-29,P002,无线鼠标,电子产品,4,199.00,796.00,上海,线下
2026-03-28,P003,机械键盘,电子产品,8,499.00,3992.00,武汉,线下
2026-05-07,P007,数据线,配件,1,29.00,29.00,成都,线下
2026-03-12,P005,耳机,电子产品,10,299.00,2990.00,广州,线上
2026-03-21,P004,显示器,电子产品,6,1999.00,11994.00,成都,线上
2026-03-08,P004,显示器,电子产品,7,1999.00,13993.00,上海,线上
